jp.co.projapan.kingselection	1.1.2	13	19	jp.co.voyagegroup.android.fluct.jar.b.a	e	android.permission.INTERNET",,android.permission.ACCESS_NETWORK_STATE",	CUSTOM	<jp.co.voyagegroup.android.fluct.jar.b.a: jp.co.voyagegroup.android.fluct.jar.c.c c(android.content.Context,java.lang.String)>, CUSTOM;<jp.co.voyagegroup.android.fluct.jar.d.a: void run()>, CUSTOM;<jp.co.voyagegroup.android.fluct.jar.b.b: void a()>, CUSTOM;<jp.co.voyagegroup.android.fluct.jar.a: void a()>, CUSTOM;<jp.co.projapan.ad.adprofit.Adprofit: void b(android.app.Activity,android.view.ViewGroup)>, CUSTOM;<jp.co.projapan.ad.adprofit.Adprofit: void a(android.app.Activity,android.view.ViewGroup)>, CUSTOM;<jp.co.projapan.solitaire.ad.Ad: void a(android.app.Activity)>, CUSTOM;<jp.co.projapan.solitaire.activities.PlaySolitaireActivity: void onCreate(android.os.Bundle)>, ACTIVITY;
com.cookware.worldcusinerecipes	21.0.0	21	26	com.cookware.worldcusinerecipes.DetailsSearchFragment	showFileChooser	android.permission.READ_EXTERNAL_STORAGE,android.permission.CAMERA	FRAGMENT	
com.cookware.worldcusinerecipes	21.0.0	21	26	com.cookware.worldcusinerecipes.DetailsSearchFragment	showCameraChooser	android.permission.READ_EXTERNAL_STORAGE,android.permission.CAMERA	FRAGMENT	
com.sonkideasforslimwaist	2.0	2	23	com.seattleclouds.AppStarterActivity	onRequestPermissionsResult	android.permission.WRITE_EXTERNAL_STORAGE"	ACTIVITY	
com.sonkideasforslimwaist	2.0	2	23	com.seattleclouds.modules.voicerecord.VoiceRecordPickerActivity	onRequestPermissionsResult	android.permission.RECORD_AUDIO");,android.permission.RECORD_AUDIO"	ACTIVITY	
com.sonkideasforslimwaist	2.0	2	23	net.sourceforge.zbar.android.ZBarScanner	onRequestPermissionsResult	android.permission.CAMERA");,android.permission.CAMERA"	ACTIVITY	
com.jb.gosms.theme.pxth_conflict	1.2 Mango	3	22	com.parse.ManifestInfo	ppnsSupportLevel	android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.RECEIVE_BOOT_COMPLETED	CUSTOM	<com.parse.ManifestInfo: com.parse.PushType getPushType()>, CUSTOM;<com.parse.Parse: void initialize(com.parse.Parse$Configuration)>, CUSTOM;<com.parse.Parse: void initialize(android.content.Context,java.lang.String,java.lang.String)>, CUSTOM;<com.jb.gosms.theme.pxth_conflict.MoreActivity: void onCreate(android.os.Bundle)>, ACTIVITY;
com.jb.gosms.theme.pxth_conflict	1.2 Mango	3	22	com.parse.ManifestInfo	gcmSupportLevel	android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,android.permission.VIBRATE	CUSTOM	<com.parse.ManifestInfo: com.parse.PushType getPushType()>, CUSTOM;<com.parse.Parse: void initialize(com.parse.Parse$Configuration)>, CUSTOM;<com.parse.Parse: void initialize(android.content.Context,java.lang.String,java.lang.String)>, CUSTOM;<com.jb.gosms.theme.pxth_conflict.MoreActivity: void onCreate(android.os.Bundle)>, ACTIVITY;
com.miqian.mq	1.2.0	4	22	u.upd.a	j	android.permission.ACCESS_NETWORK_STATE",	CUSTOM	<u.upd.a: boolean k(android.content.Context)>, CUSTOM;<com.umeng.update.net.f: void a(boolean)>, CUSTOM;<com.umeng.update.net.f: void run()>, CUSTOM;<cn.jpush.android.api.m: void a(android.content.Context,cn.jpush.android.data.d)>, CUSTOM;<cn.jpush.android.data.t: void a(android.content.Context)>, CUSTOM;<cn.jpush.android.helpers.b: void a(android.content.Context,java.lang.String)>, CUSTOM;<cn.jpush.android.helpers.c: void run()>, CUSTOM;<cn.jpush.android.helpers.b: void b(android.content.Context,java.lang.String,java.lang.String)>, CUSTOM;<cn.jpush.android.helpers.b: void a(android.content.Context,cn.jpush.android.data.a)>, CUSTOM;<cn.jpush.android.service.PushReceiver: void onReceive(android.content.Context,android.content.Intent)>, BROADCAST_RECEIVER;
com.miqian.mq	1.2.0	4	22	com.umeng.fb.h.d	j	android.permission.ACCESS_NETWORK_STATE",	CUSTOM	<com.umeng.fb.h.g: org.json.JSONObject a(android.content.Context)>, CUSTOM;<com.umeng.fb.e.a: java.lang.String a()>, CUSTOM;<com.umeng.fb.b: void run()>, CUSTOM;<com.umeng.fb.a: void o()>, CUSTOM;<com.umeng.fb.a: void <init>(android.content.Context)>, CUSTOM;<com.miqian.mq.activity.setting.CustomFeedBackActivity: void onCreate(android.os.Bundle)>, ACTIVITY;
com.miqian.mq	1.2.0	4	22	com.umeng.update.net.s	a	android.permission.ACCESS_NETWORK_STATE"	CUSTOM	<com.umeng.update.net.DownloadingService: int onStartCommand(android.content.Intent,int,int)>, SERVICE;
